"id_k","id_tenant","nama","status"
,355,Istana Mie & Es,0
,356,Istana Mie & Es,0
,357,Istana Mie & Es ,0
,358,FMART,0
16,359,SMART BUDGET HOTEL,0
12,360,Dyriana Bakery,0
16,361,Grand Arkenso  Parkview Hotel ,0
16,362,Horison Kota Lama Semarang,0
28,363,JSS Autodetailing,0
12,364,Restoran Selasih,0
16,365,HOTEL CITRADREAM SEMARANG,0
,366,Ny Kamto,0
,367,GNC Live Well,0
,368,Genki Sushi Paragon Semarang,0
12,369,Glasnost Resto,0
,370,Bakmi Gili,0
,371,HOTEL PANDANARAN SEMARANG,0
38,372,UPTD KREO dan AGROWISATA,0
13,373,Tentrem Mall,0
,374,KEVA RESTO,0
,375,Quest Hotel Simpang-lima Semarang,0
,376,Haagendazs,0
,377,Happy Lemon,0
,378,Patra Semarang Hotel & Convention ,0
,379,Kata kopi Semarang,0
,380,Watsons,0
,381,OPTIK MELAWAI,0
,382,GUESS Accessories,0
28,383,Sumber Baru Ban,0
38,384,UPTD TAMAN LELE,0
,385,Pusat Jersey Semarang,0
,386,SUPER INDO MAJAPAHIT,0
12,387,SUPER INDO CANDI,0
,388,City One Xpress Semarang,0
,389,Gets Hotel Semarang ,0
17,390,PT MITRA BUGAR SEJATI (FITNATION GYM) ,0
,391,adidas,0
31,392,SUPER INDO KEDUNGMUNDU,0
,393,SUPERINDO WAHIDIN,0
,394,SUPER INDO ISTANA MAJAPAHIT,0
12,395,Omah Ampiran,0
31,396,SUPER INDO SRIWIJAYA,0
31,397,SUPER INDO SUKUN RAYA,0
31,398,SUPER INDO SIMONGAN,0
12,399,SUPER INDO GAJAH MUNGKUR,0
,400,SUPER INDO SOEKARNO HATTA,0
32,401,PKL Taman Indonesia Kaya,0
31,402,SUPER INDO SILIWANGI,0
31,403,SUPER INDO NGALIYAN,0
31,404, AJBS Pusat Bahan Bangunan,0
,405,Distro Jaket Semarang,0
,406,Kris Kres Nyam,0
38,407,Grand Maerakaca Taman Mini jawa Tengah ,0
,408,THE BODY SHOP,0
20,409,Atlanta Electronics,0
12,410,Konnyusu Susu Sapi,0
18,411,The Premiera Sikin & Body Clinic,0
,412,SA.food,0
31,413,Swalayan Aneka Jaya Woltermonginsidi,0
31,414,Swalayan Aneka Jaya Kalipancur,0
31,415,Cv.anekajaya ngaliyan,0
16,416,Gumaya Tower Hotel,0
,417,Weekend Coffe Market,0
,418,Threestars EO,0
12,419,Sekolah Musik Indonesia,0
,420,CV CANDRA,0
20,421,SEROJA ELEKTRONIK,0
19,422,LABORATORIUM KLINIK PRODIA SEMARANG,0
31,423,PT Agusta Triasa,0
28,424,ZIRANG HONDA,0
31,425,INDOMARET,0
,426,Dinas Perindustrian Kota Semarang,0
12,427,Lapis Kukus Lawang Sewu,0
12,428,ALFAMART,0
13,429,PHRI Vaganza 2022,0
32,457,Pasar Bulu,1
,458,Sumber Bahagia Printing,1
,459,Sumber Bahagia CTCP,1
41,460,Gajah Print,1
41,461,PRINTIME,1
41,462,ISA GRAFIKA,1
41,463,PAKEM Printing & Packaging,1
12,464,LOT28 COFFEE & BAR,1
19,465,Laboratorium Klinik Prodia Semarang,1
,466,SEMARANG SKY CITY,0
15,467,BANK JATENG CABANG SEMARANG,1
31,468,Showroom Sango Inax Semarang,1
17,469,FUN BIKE PHRI Vaganza,1
,470,Pasar Johar,1
,471,Pasar Peterongan,1
25,472,SEMARANG SKY CITY,1
14,473,Inul Vizta Semarang,1
